country_id,region,income_group,country_name,is_country
CUW,Latin America & Caribbean,High income,Curaçao,1
CYM,Latin America & Caribbean,High income,Cayman Islands,1
CYP,Europe & Central Asia,High income,Cyprus,1
CZE,Europe & Central Asia,High income,Czech Republic,1
DEU,Europe & Central Asia,High income,Germany,1
DJI,Middle East & North Africa,Lower middle income,Djibouti,1
DMA,Latin America & Caribbean,Upper middle income,Dominica,1
DNK,Europe & Central Asia,High income,Denmark,1
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic,1
DZA,Middle East & North Africa,Lower middle income,Algeria,1
EAP,,,East Asia & Pacific (excluding high income),0
EAR,,,Early-demographic dividend,0
EAS,,,East Asia & Pacific,0
ECA,,,Europe & Central Asia (excluding high income),0
ECS,,,Europe & Central Asia,0
ECU,Latin America & Caribbean,Upper middle income,Ecuador,1
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",1
EMU,,,Euro area,0
ERI,Sub-Saharan Africa,Low income,Eritrea,1
ESP,Europe & Central Asia,High income,Spain,1
EST,Europe & Central Asia,High income,Estonia,1
ETH,Sub-Saharan Africa,Low income,Ethiopia,1
EUU,,,European Union,0
FCS,,,Fragile and conflict affected situations,0
FIN,Europe & Central Asia,High income,Finland,1
FJI,East Asia & Pacific,Upper middle income,Fiji,1
FRA,Europe & Central Asia,High income,France,1
FRO,Europe & Central Asia,High income,Faroe Islands,1
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",1
GAB,Sub-Saharan Africa,Upper middle income,Gabon,1
GBR,Europe & Central Asia,High income,United Kingdom,1
GEO,Europe & Central Asia,Upper middle income,Georgia,1
GHA,Sub-Saharan Africa,Lower middle income,Ghana,1
GIB,Europe & Central Asia,High income,Gibraltar,1
GIN,Sub-Saharan Africa,Low income,Guinea,1
GMB,Sub-Saharan Africa,Low income,"Gambia, The",1
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau,1
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,1
GRC,Europe & Central Asia,High income,Greece,1
GRD,Latin America & Caribbean,Upper middle income,Grenada,1
GRL,Europe & Central Asia,High income,Greenland,1
GTM,Latin America & Caribbean,Upper middle income,Guatemala,1
GUM,East Asia & Pacific,High income,Guam,1
GUY,Latin America & Caribbean,Upper middle income,Guyana,1
HIC,,,High income,0
HKG,East Asia & Pacific,High income,"Hong Kong SAR, China",1
HND,Latin America & Caribbean,Lower middle income,Honduras,1
HPC,,,Heavily indebted poor countries (HIPC),0
HRV,Europe & Central Asia,High income,Croatia,1
HTI,Latin America & Caribbean,Low income,Haiti,1
HUN,Europe & Central Asia,High income,Hungary,1
IBD,,,IBRD only,0
IBT,,,IDA & IBRD total,0
IDA,,,IDA total,0
IDB,,,IDA blend,0
IDN,East Asia & Pacific,Upper middle income,Indonesia,1
IDX,,,IDA only,0
IMN,Europe & Central Asia,High income,Isle of Man,1
IND,South Asia,Lower middle income,India,1
IRL,Europe & Central Asia,High income,Ireland,1
IRN,Middle East & North Africa,Upper middle income,"Iran, Islamic Rep.",1
IRQ,Middle East & North Africa,Upper middle income,Iraq,1
ISL,Europe & Central Asia,High income,Iceland,1
ISR,Middle East & North Africa,High income,Israel,1
ITA,Europe & Central Asia,High income,Italy,1
JAM,Latin America & Caribbean,Upper middle income,Jamaica,1
JOR,Middle East & North Africa,Upper middle income,Jordan,1
JPN,East Asia & Pacific,High income,Japan,1
KAZ,Europe & Central Asia,Upper middle income,Kazakhstan,1
KEN,Sub-Saharan Africa,Lower middle income,Kenya,1
KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic,1
KHM,East Asia & Pacific,Lower middle income,Cambodia,1
KIR,East Asia & Pacific,Lower middle income,Kiribati,1
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis,1
KOR,East Asia & Pacific,High income,"Korea, Rep.",1
KWT,Middle East & North Africa,High income,Kuwait,1
LAC,,,Latin America & Caribbean (excluding high income),0
LAO,East Asia & Pacific,Lower middle income,Lao PDR,1
LBN,Middle East & North Africa,Upper middle income,Lebanon,1
LBR,Sub-Saharan Africa,Low income,Liberia,1
LBY,Middle East & North Africa,Upper middle income,Libya,1
LCA,Latin America & Caribbean,Upper middle income,St. Lucia,1
LCN,,,Latin America & Caribbean,0
LDC,,,Least developed countries: UN classification,0
LIC,,,Low income,0
LIE,Europe & Central Asia,High income,Liechtenstein,1
LKA,South Asia,Lower middle income,Sri Lanka,1
LMC,,,Lower middle income,0
LMY,,,Low & middle income,0
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,1
LTE,,,Late-demographic dividend,0
LTU,Europe & Central Asia,High income,Lithuania,1
LUX,Europe & Central Asia,High income,Luxembourg,1
LVA,Europe & Central Asia,High income,Latvia,1
MAC,East Asia & Pacific,High income,"Macao SAR, China",1
MAF,Latin America & Caribbean,High income,St. Martin (French part),1
MAR,Middle East & North Africa,Lower middle income,Morocco,1
MCO,Europe & Central Asia,High income,Monaco,1
MDA,Europe & Central Asia,Lower middle income,Moldova,1
MDG,Sub-Saharan Africa,Low income,Madagascar,1
MDV,South Asia,Upper middle income,Maldives,1
MEA,,,Middle East & North Africa,0
MEX,Latin America & Caribbean,Upper middle income,Mexico,1
MHL,East Asia & Pacific,Upper middle income,Marshall Islands,1
MIC,,,Middle income,0
MKD,Europe & Central Asia,Upper middle income,North Macedonia,1
MLI,Sub-Saharan Africa,Low income,Mali,1
MLT,Middle East & North Africa,High income,Malta,1
MMR,East Asia & Pacific,Lower middle income,Myanmar,1
MNA,,,Middle East & North Africa (excluding high income),0
MNE,Europe & Central Asia,Upper middle income,Montenegro,1
MNG,East Asia & Pacific,Lower middle income,Mongolia,1
MNP,East Asia & Pacific,High income,Northern Mariana Islands,1
MOZ,Sub-Saharan Africa,Low income,Mozambique,1
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,1
MUS,Sub-Saharan Africa,High income,Mauritius,1
MWI,Sub-Saharan Africa,Low income,Malawi,1
MYS,East Asia & Pacific,Upper middle income,Malaysia,1
NAC,,,North America,0
NAM,Sub-Saharan Africa,Upper middle income,Namibia,1
NCL,East Asia & Pacific,High income,New Caledonia,1
NER,Sub-Saharan Africa,Low income,Niger,1
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,1
NIC,Latin America & Caribbean,Lower middle income,Nicaragua,1
NLD,Europe & Central Asia,High income,Netherlands,1
NOR,Europe & Central Asia,High income,Norway,1
NPL,South Asia,Lower middle income,Nepal,1
NRU,East Asia & Pacific,High income,Nauru,1
NZL,East Asia & Pacific,High income,New Zealand,1
OED,,,OECD members,0
OMN,Middle East & North Africa,High income,Oman,1
OSS,,,Other small states,0
PAK,South Asia,Lower middle income,Pakistan,1
PAN,Latin America & Caribbean,High income,Panama,1
PER,Latin America & Caribbean,Upper middle income,Peru,1
PHL,East Asia & Pacific,Lower middle income,Philippines,1
PLW,East Asia & Pacific,High income,Palau,1
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,1
POL,Europe & Central Asia,High income,Poland,1
PRE,,,Pre-demographic dividend,0
PRI,Latin America & Caribbean,High income,Puerto Rico,1
PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",1
PRT,Europe & Central Asia,High income,Portugal,1
PRY,Latin America & Caribbean,Upper middle income,Paraguay,1
PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza,1
PSS,,,Pacific island small states,0
PST,,,Post-demographic dividend,0
PYF,East Asia & Pacific,High income,French Polynesia,1
QAT,Middle East & North Africa,High income,Qatar,1
ROU,Europe & Central Asia,High income,Romania,1
RUS,Europe & Central Asia,Upper middle income,Russian Federation,1
RWA,Sub-Saharan Africa,Low income,Rwanda,1
SAS,,,South Asia,0
SAU,Middle East & North Africa,High income,Saudi Arabia,1
SDN,Sub-Saharan Africa,Low income,Sudan,1
SEN,Sub-Saharan Africa,Lower middle income,Senegal,1
SGP,East Asia & Pacific,High income,Singapore,1
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,1
SLE,Sub-Saharan Africa,Low income,Sierra Leone,1
SLV,Latin America & Caribbean,Lower middle income,El Salvador,1
SMR,Europe & Central Asia,High income,San Marino,1
SOM,Sub-Saharan Africa,Low income,Somalia,1
SRB,Europe & Central Asia,Upper middle income,Serbia,1
SSA,,,Sub-Saharan Africa (excluding high income),0
SSD,Sub-Saharan Africa,Low income,South Sudan,1
SSF,,,Sub-Saharan Africa,0
SST,,,Small states,0
STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,1
SUR,Latin America & Caribbean,Upper middle income,Suriname,1
SVK,Europe & Central Asia,High income,Slovak Republic,1
SVN,Europe & Central Asia,High income,Slovenia,1
SWE,Europe & Central Asia,High income,Sweden,1
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini,1
SXM,Latin America & Caribbean,High income,Sint Maarten (Dutch part),1
SYC,Sub-Saharan Africa,High income,Seychelles,1
SYR,Middle East & North Africa,Low income,Syrian Arab Republic,1
TCA,Latin America & Caribbean,High income,Turks and Caicos Islands,1
TCD,Sub-Saharan Africa,Low income,Chad,1
TEA,,,East Asia & Pacific (IDA & IBRD),0
TEC,,,Europe & Central Asia (IDA & IBRD),0
TGO,Sub-Saharan Africa,Low income,Togo,1
THA,East Asia & Pacific,Upper middle income,Thailand,1
TJK,Europe & Central Asia,Low income,Tajikistan,1
TKM,Europe & Central Asia,Upper middle income,Turkmenistan,1
TLA,,,Latin America & Caribbean (IDA & IBRD),0
TLS,East Asia & Pacific,Lower middle income,Timor-Leste,1
TMN,,,Middle East & North Africa (IDA & IBRD),0
TON,East Asia & Pacific,Upper middle income,Tonga,1
TSA,,,South Asia (IDA & IBRD),0
TSS,,,Sub-Saharan Africa (IDA & IBRD),0
TTO,Latin America & Caribbean,High income,Trinidad and Tobago,1
TUN,Middle East & North Africa,Lower middle income,Tunisia,1
TUR,Europe & Central Asia,Upper middle income,Turkey,1
TUV,East Asia & Pacific,Upper middle income,Tuvalu,1
TZA,Sub-Saharan Africa,Lower middle income,Tanzania,1
UGA,Sub-Saharan Africa,Low income,Uganda,1
UKR,Europe & Central Asia,Lower middle income,Ukraine,1
UMC,,,Upper middle income,0
URY,Latin America & Caribbean,High income,Uruguay,1
USA,North America,High income,United States,1
UZB,Europe & Central Asia,Lower middle income,Uzbekistan,1
VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,1
VEN,Latin America & Caribbean,Upper middle income,"Venezuela, RB",1
VGB,Latin America & Caribbean,High income,British Virgin Islands,1
VIR,Latin America & Caribbean,High income,Virgin Islands (U.S.),1
VNM,East Asia & Pacific,Lower middle income,Vietnam,1
VUT,East Asia & Pacific,Lower middle income,Vanuatu,1
WLD,,,World,0
WSM,East Asia & Pacific,Upper middle income,Samoa,1
XKX,Europe & Central Asia,Upper middle income,Kosovo,1
YEM,Middle East & North Africa,Low income,"Yemen, Rep.",1
ZAF,Sub-Saharan Africa,Upper middle income,South Africa,1
ZMB,Sub-Saharan Africa,Lower middle income,Zambia,1
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,1

